,BEN,BHY,SNB75,SF295,EHEB,HT,MC116,SF126,CMK,RL,NB4,JM1,HCC1395,HCC2157,HCC2218,MCF7,HCC1500,AU565,HCC1937,HCC70,HCC1599,T47D,HCC1143,HCC1806,HCC38,HCC1419,HCC1428,HCC1187,HCC1569,HCC1954
A1BG,0.1,6.3,0.49,19.4,27.2,22.05,41.83,9.78,14.7,5.78,12.45,20.73,8.12,1.39,6.63,16.1,59.89,4.83,19.65,0.73,3.05,22.09,4.4,118.93,36.6,34.93,38.82,0.58,15.78,15.3
A1CF,4.94,0.01,0.0,0.0,0.04,0.02,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0.01,0.01,0.04,0.01,0.0,0.01,0.04,0.0,0.18,0.01,0.01,0.0,0.06,0.01,0.01,0.03
A2M,0.19,0.53,1175.5,0.11,1.69,0.08,0.2,0.91,1.02,0.03,0.08,0.23,11.53,11.22,0.15,0.19,0.15,1.43,0.09,0.01,0.06,0.12,0.0,0.03,0.09,0.02,0.24,0.15,1059.0,0.27
A2ML1,0.03,5.85,0.01,0.0,0.02,0.0,0.0,0.03,0.35,0.18,0.01,0.0,0.01,0.01,0.1,0.05,0.11,4.51,3.11,28.62,0.17,0.09,6.05,1.98,0.1,0.14,2.21,0.15,0.41,1.37
A3GALT2,0.0,0.04,0.0,0.02,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.03,0.0,0.0,0.39,0.0
A4GALT,3.02,15.99,13.39,1.71,26.35,34.74,14.72,9.08,0.29,14.98,0.09,4.71,13.86,0.0,0.68,25.99,3.4,0.83,5.68,0.76,0.47,6.6,17.45,8.85,0.39,3.3,60.56,0.28,4.12,4.49
A4GNT,0.01,0.28,0.09,0.04,0.0,0.01,0.0,0.06,0.0,0.0,0.0,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.06,0.27,0.18,0.14,0.14,0.0,0.14,0.0,0.0,0.0,0.01,0.04
AAAS,49.58,51.54,40.95,52.58,46.23,55.02,57.3,57.89,75.2,66.77,64.86,105.46,49.82,25.8,30.44,63.81,45.35,64.33,40.76,27.74,30.72,75.06,49.69,28.9,40.61,36.44,39.11,25.61,52.21,38.3
AACS,63.26,24.41,16.85,16.36,11.65,13.83,2.7,22.27,38.35,31.43,9.28,29.71,16.45,10.84,17.34,34.8,34.21,46.97,22.63,36.24,36.24,23.78,17.08,22.73,41.28,28.98,28.75,17.64,24.93,31.82
AADAC,0.27,8.51,0.0,4.75,0.0,0.03,0.0,0.08,0.04,0.0,0.04,0.03,0.02,0.03,0.02,0.11,0.0,0.2,0.0,0.23,0.0,0.04,0.02,6.86,0.04,0.04,0.03,0.04,0.03,0.1
