,HCC1395,HCC2157,HCC2218,MCF7,HCC1500,HCC1937,HCC70,HCC1599,T47D,HCC1143,HCC38,HCC1419,HCC1428,HCC1187,HCC1569,HCC1954
A1BG,8.12,1.39,6.63,16.1,59.89,19.65,0.73,3.05,22.09,4.4,36.6,34.93,38.82,0.58,15.78,15.3
A1CF,0.01,0.02,0.01,0.01,0.04,0.0,0.01,0.04,0.0,0.18,0.01,0.0,0.06,0.01,0.01,0.03
A2M,11.53,11.22,0.15,0.19,0.15,0.09,0.01,0.06,0.12,0.0,0.09,0.02,0.24,0.15,1059.0,0.27
A2ML1,0.01,0.01,0.1,0.05,0.11,3.11,28.62,0.17,0.09,6.05,0.1,0.14,2.21,0.15,0.41,1.37
A3GALT2,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.1,0.03,0.0,0.0,0.39,0.0
A4GALT,13.86,0.0,0.68,25.99,3.4,5.68,0.76,0.47,6.6,17.45,0.39,3.3,60.56,0.28,4.12,4.49
A4GNT,0.01,0.0,0.0,0.0,0.0,0.06,0.27,0.18,0.14,0.14,0.14,0.0,0.0,0.0,0.01,0.04
AAAS,49.82,25.8,30.44,63.81,45.35,40.76,27.74,30.72,75.06,49.69,40.61,36.44,39.11,25.61,52.21,38.3
AACS,16.45,10.84,17.34,34.8,34.21,22.63,36.24,36.24,23.78,17.08,41.28,28.98,28.75,17.64,24.93,31.82
AADAC,0.02,0.03,0.02,0.11,0.0,0.0,0.23,0.0,0.04,0.02,0.04,0.04,0.03,0.04,0.03,0.1
AADACL2,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0
AADACL3,0.04,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.02,0.01,0.0,0.0,0.01,0.01,0.11
AADACL4,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.03,0.0,0.02
AADAT,4.77,9.27,0.63,4.53,0.01,2.85,0.11,6.35,0.14,3.91,19.02,2.16,2.76,10.72,12.84,2.43
AAED1,7.04,5.23,0.95,2.37,4.77,6.59,6.29,2.54,1.87,3.82,4.95,1.36,5.41,1.77,5.54,4.95
AAGAB,48.03,22.85,39.51,70.66,37.84,31.68,42.31,34.15,40.88,44.56,52.12,43.15,63.64,20.91,22.57,55.05
AAK1,5.37,2.77,1.54,2.51,1.73,11.04,7.99,4.38,2.37,5.45,12.12,5.58,3.26,4.43,4.96,9.47
AAMDC,35.33,25.56,15.57,37.06,94.69,52.33,44.03,29.15,40.82,44.91,67.02,44.24,37.41,57.04,55.8,46.96
AAMP,105.07,99.34,82.35,155.81,136.01,62.99,90.65,73.79,106.1,80.33,158.6,137.4,240.44,80.5,157.49,103.76
AANAT,1.94,0.14,0.12,0.04,0.17,0.45,0.32,0.95,0.29,0.97,0.13,0.22,1.26,0.49,0.19,0.07
AAR2,25.03,26.02,16.34,20.05,34.82,26.04,20.21,19.63,31.47,50.06,36.52,50.03,17.05,18.27,44.22,18.51
AARD,36.0,491.72,0.31,24.71,146.59,14.38,29.17,544.72,1.1,35.74,101.81,0.89,10.61,1.45,295.25,2.53
AARS,156.16,76.75,39.71,208.83,104.69,175.42,240.4,83.44,162.64,84.5,91.68,118.22,151.26,88.13,67.54,167.0
AARS2,11.85,13.3,8.43,7.76,6.59,13.31,7.7,11.41,8.34,12.39,11.66,11.55,6.86,12.72,29.39,12.18
AARSD1,49.37,49.0,26.79,29.28,64.24,56.99,33.96,100.98,72.71,32.77,80.69,23.37,41.01,24.15,42.99,33.02
AASDH,4.69,4.75,2.7,2.97,13.56,6.94,1.89,9.02,6.15,12.81,5.93,10.09,3.88,4.73,4.72,7.79
AASDHPPT,17.71,23.24,20.15,11.37,24.56,24.11,18.04,13.66,27.06,15.42,24.62,13.84,20.58,28.76,22.98,22.26
AASS,0.26,0.88,0.1,0.09,0.08,0.11,0.04,0.44,0.82,0.11,1.58,0.06,0.19,9.43,1.26,0.9
AATF,53.03,41.35,15.96,35.28,24.71,65.61,38.84,58.09,47.22,33.72,56.14,22.6,41.04,36.67,60.66,76.82
AATK,4.41,2.64,0.19,0.42,0.73,1.06,0.48,0.55,0.7,0.65,2.82,0.64,0.93,1.54,1.48,0.25
ABAT,5.31,0.19,4.37,47.52,16.3,8.35,2.75,0.47,27.0,3.64,1.45,9.94,94.32,1.14,2.48,1.52
ABCA1,2.07,0.01,1.91,0.13,1.06,1.52,1.88,0.28,0.25,0.32,0.42,0.54,0.16,2.12,2.34,1.11
ABCA10,0.21,0.6,0.17,0.62,0.07,0.33,0.02,0.14,0.03,1.15,0.4,0.2,0.07,0.22,0.18,0.1
ABCA12,0.01,0.07,1.06,26.08,15.48,1.33,7.93,0.05,11.29,1.93,0.11,6.9,36.21,0.09,0.04,6.17
ABCA13,0.27,10.65,0.01,0.01,0.02,0.03,0.01,0.01,0.02,2.15,0.02,0.01,5.71,0.04,0.12,0.29
ABCA2,36.05,72.02,19.11,66.56,78.54,44.5,17.42,48.35,135.42,21.74,23.47,71.88,55.46,43.73,68.46,33.83
ABCA3,2.69,16.98,26.53,22.06,24.72,3.07,0.99,9.05,38.92,17.3,6.06,19.46,23.31,3.06,2.65,3.85
ABCA4,21.63,3.41,0.41,0.11,0.61,5.84,0.31,150.33,0.21,0.14,1.0,0.23,10.57,33.03,0.41,3.14
