,T24,BEN,BHY,SNB75,SF295,EHEB,HT,MC116,SF126,CMK,RL,NB4,JM1,SW48,SW620,SW1463,SW1116,RKO,MDST8,SW1417,T84,SW837,HT55,SW948,KM12
A1BG,0.08,0.1,6.3,0.49,19.4,27.2,22.05,41.83,9.78,14.7,5.78,12.45,20.73,0.9,0.01,0.31,0.44,0.31,45.22,0.0,0.09,0.33,0.1,0.2,0.15
A1CF,0.0,4.94,0.01,0.0,0.0,0.04,0.02,0.0,0.0,0.0,0.0,0.01,0.01,0.1,1.57,5.33,1.56,0.06,0.03,0.06,3.7,0.04,6.92,7.96,0.85
A2M,0.18,0.19,0.53,1175.5,0.11,1.69,0.08,0.2,0.91,1.02,0.03,0.08,0.23,0.4,0.05,0.11,0.13,0.05,0.23,0.34,0.04,0.24,0.11,0.08,0.33
A2ML1,0.01,0.03,5.85,0.01,0.0,0.02,0.0,0.0,0.03,0.35,0.18,0.01,0.0,1.03,0.0,0.0,0.0,0.03,0.0,0.22,0.04,1.83,0.0,0.0,7.21
A3GALT2,0.0,0.0,0.04,0.0,0.02,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4GALT,3.88,3.02,15.99,13.39,1.71,26.35,34.74,14.72,9.08,0.29,14.98,0.09,4.71,0.13,0.11,1.54,8.7,0.01,0.04,6.04,1.86,11.82,0.25,0.69,2.46
A4GNT,0.01,0.01,0.28,0.09,0.04,0.0,0.01,0.0,0.06,0.0,0.0,0.0,0.02,0.0,0.03,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.02
AAAS,69.41,49.58,51.54,40.95,52.58,46.23,55.02,57.3,57.89,75.2,66.77,64.86,105.46,36.74,91.13,44.02,32.74,27.59,64.48,51.76,47.45,56.38,35.79,45.5,37.81
AACS,22.7,63.26,24.41,16.85,16.36,11.65,13.83,2.7,22.27,38.35,31.43,9.28,29.71,23.85,25.11,23.83,15.38,15.67,29.83,21.33,22.31,23.61,23.71,32.16,25.22
AADAC,5.96,0.27,8.51,0.0,4.75,0.0,0.03,0.0,0.08,0.04,0.0,0.04,0.03,0.03,0.0,3.89,1.1,0.07,0.04,0.04,0.31,0.03,0.43,0.03,0.16
AADACL2,0.06,0.01,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AADACL3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0
AADACL4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AADAT,4.73,3.88,2.31,6.68,1.68,0.01,0.01,0.0,2.4,0.17,0.0,0.03,0.03,21.37,10.95,2.64,2.87,27.71,8.54,10.06,9.49,10.42,4.46,3.75,8.25
AAED1,9.92,4.01,5.92,19.76,5.06,4.92,0.43,0.01,10.13,4.85,0.09,3.6,2.26,10.07,4.42,2.29,1.91,10.83,5.67,1.95,3.34,6.01,5.48,6.68,1.99
AAGAB,46.15,29.76,33.11,37.13,45.84,25.89,42.51,28.61,61.75,16.35,27.59,31.11,26.67,39.28,41.97,31.4,15.57,20.51,43.44,35.72,40.84,46.31,34.52,30.14,32.7
AAK1,6.61,2.37,8.46,9.59,8.81,4.89,0.34,0.19,12.51,2.66,1.08,3.35,1.77,3.97,2.81,3.89,3.47,2.6,9.54,2.72,3.31,5.39,0.64,2.63,2.94
AAMDC,74.38,23.86,54.92,67.71,20.48,10.91,29.14,8.97,54.65,46.49,10.79,29.1,19.77,7.72,31.35,13.9,5.9,16.13,56.06,50.0,17.17,68.53,32.32,46.33,23.76
AAMP,113.89,103.54,68.52,68.5,105.12,53.92,116.87,58.99,103.45,92.72,92.24,163.28,81.69,116.83,123.51,134.61,72.33,81.58,164.31,176.55,99.62,125.36,111.95,175.59,59.15
AANAT,0.11,0.04,1.64,0.22,0.74,0.22,0.16,0.05,0.04,0.05,1.17,0.07,0.81,0.0,0.55,0.57,0.74,0.0,0.08,0.54,0.13,0.0,0.42,0.17,0.18
AAR2,45.57,21.75,21.77,30.41,17.74,16.42,21.92,16.72,22.24,23.1,18.81,26.94,27.18,11.86,27.48,26.2,14.62,10.71,31.22,38.22,20.04,35.65,52.84,19.01,11.94
AARD,0.01,0.09,0.1,0.0,0.0,0.17,0.07,0.02,0.02,0.1,0.0,0.0,0.0,0.02,0.01,0.0,0.09,0.0,0.33,0.0,0.0,0.14,0.02,0.0,0.01
AARS,99.89,189.05,101.1,121.91,92.14,162.21,82.19,91.82,251.07,211.88,141.41,125.75,152.98,306.86,190.28,41.26,45.65,31.46,82.41,60.07,96.1,145.64,82.87,45.23,126.11
AARS2,9.43,5.83,11.48,12.62,12.36,10.04,11.37,12.74,9.86,13.65,9.84,11.6,23.55,11.78,9.84,5.94,3.57,9.81,12.35,11.81,7.32,14.37,6.78,8.12,7.88
AARSD1,56.08,29.15,51.22,39.31,79.47,43.28,73.84,72.61,52.33,68.43,87.58,66.05,87.78,79.48,55.21,18.83,27.99,64.38,44.06,44.93,61.96,53.31,34.82,31.01,46.13
AASDH,4.07,4.05,5.93,4.12,4.05,3.86,4.91,6.71,6.06,7.78,3.58,6.96,8.44,9.41,4.78,3.33,3.43,3.25,1.71,3.28,2.57,9.34,3.2,3.79,5.99
AASDHPPT,41.33,20.49,18.68,24.33,26.43,19.87,36.18,27.85,28.9,43.8,61.81,39.5,44.1,43.84,42.14,27.41,9.47,24.31,18.24,27.9,15.29,48.13,19.28,19.8,16.83
AASS,17.69,4.05,6.41,6.83,12.55,9.65,0.02,0.17,18.45,0.04,0.01,0.14,15.09,4.25,0.86,0.14,0.29,13.76,9.32,1.57,0.05,0.12,0.21,2.89,4.23
AATF,82.95,25.44,45.16,59.34,118.73,55.59,93.8,72.6,80.97,69.67,102.21,105.37,114.61,78.66,67.96,54.24,33.01,22.05,78.0,96.25,36.69,65.7,45.2,46.03,22.47
AATK,0.02,0.57,0.92,13.99,0.38,0.09,0.04,0.01,0.25,1.79,0.0,0.04,0.01,8.0,0.51,1.47,17.25,0.21,0.09,3.62,0.71,2.88,0.95,7.84,0.54
ABAT,0.45,1.11,6.86,1.53,0.37,2.38,2.26,0.39,2.7,2.85,2.96,0.18,1.49,0.97,0.79,1.08,1.16,1.71,2.98,3.12,2.39,1.99,8.7,5.4,0.95
ABCA1,1.28,0.48,12.58,7.36,3.41,0.71,0.02,3.65,9.82,0.29,0.68,6.84,3.73,0.17,0.33,0.22,0.11,0.03,2.89,1.78,0.11,1.16,1.63,0.76,0.88
ABCA10,0.38,0.59,178.0,0.35,0.33,0.75,0.01,0.02,0.02,0.06,0.02,0.02,0.14,0.08,0.13,0.57,0.0,0.09,0.01,0.19,0.01,0.07,0.02,0.08,1.37
ABCA12,0.07,0.02,0.92,0.04,0.13,15.99,0.0,0.01,0.09,0.01,0.0,0.0,0.01,0.82,0.0,0.02,0.01,0.0,0.05,0.01,0.29,0.24,0.01,0.01,0.17
ABCA13,0.34,0.24,3.73,0.17,0.14,0.05,0.01,0.01,1.47,0.0,0.0,0.02,0.01,0.07,0.0,0.15,0.12,0.01,0.05,1.49,1.05,1.07,0.01,0.06,0.0
ABCA2,15.56,88.4,82.46,51.79,21.23,2.22,1.11,2.46,12.44,14.56,0.91,107.02,0.75,106.97,17.31,18.4,48.45,91.97,22.77,43.05,53.15,27.99,38.62,82.35,17.45
ABCA3,0.74,53.39,11.76,0.67,1.45,4.04,0.12,0.06,0.11,0.22,0.09,1.35,0.19,43.7,2.68,2.33,0.67,8.07,0.21,2.61,0.27,8.79,0.72,1.35,8.65
ABCA4,0.04,0.14,0.41,0.42,0.52,0.25,0.03,0.05,0.87,0.03,0.02,0.03,0.01,0.07,0.15,0.09,0.01,0.0,0.08,0.13,0.05,1.16,0.03,0.0,0.02
