,SW48,SW620,SW1463,SW1116,RKO,MDST8,SW1417,T84,SW837,HT55,SW948,KM12
A1BG,0.9,0.01,0.31,0.44,0.31,45.22,0.0,0.09,0.33,0.1,0.2,0.15
A1CF,0.1,1.57,5.33,1.56,0.06,0.03,0.06,3.7,0.04,6.92,7.96,0.85
A2M,0.4,0.05,0.11,0.13,0.05,0.23,0.34,0.04,0.24,0.11,0.08,0.33
A2ML1,1.03,0.0,0.0,0.0,0.03,0.0,0.22,0.04,1.83,0.0,0.0,7.21
A3GALT2,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4GALT,0.13,0.11,1.54,8.7,0.01,0.04,6.04,1.86,11.82,0.25,0.69,2.46
A4GNT,0.0,0.03,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.02
AAAS,36.74,91.13,44.02,32.74,27.59,64.48,51.76,47.45,56.38,35.79,45.5,37.81
AACS,23.85,25.11,23.83,15.38,15.67,29.83,21.33,22.31,23.61,23.71,32.16,25.22
AADAC,0.03,0.0,3.89,1.1,0.07,0.04,0.04,0.31,0.03,0.43,0.03,0.16
AADACL2,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AADACL3,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0
AADACL4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AADAT,21.37,10.95,2.64,2.87,27.71,8.54,10.06,9.49,10.42,4.46,3.75,8.25
AAED1,10.07,4.42,2.29,1.91,10.83,5.67,1.95,3.34,6.01,5.48,6.68,1.99
AAGAB,39.28,41.97,31.4,15.57,20.51,43.44,35.72,40.84,46.31,34.52,30.14,32.7
AAK1,3.97,2.81,3.89,3.47,2.6,9.54,2.72,3.31,5.39,0.64,2.63,2.94
AAMDC,7.72,31.35,13.9,5.9,16.13,56.06,50.0,17.17,68.53,32.32,46.33,23.76
AAMP,116.83,123.51,134.61,72.33,81.58,164.31,176.55,99.62,125.36,111.95,175.59,59.15
AANAT,0.0,0.55,0.57,0.74,0.0,0.08,0.54,0.13,0.0,0.42,0.17,0.18
