Feature,Frequency
MT-ATP6,11
HLA-A,8
ALDH1A1,4
RPL12,4
RNF113A,3
MT-CYB,3
LIME1,3
OR2T35,3
TBC1D1,3
DPM3,3
RUNDC1,3
HSPA1A,3
NKX2-6,3
AGXT,3
RPL10,3
SH3GLB2,3
RPL26,3
WBP5,3
C3AR1,3
PATL2,3
ARL11,3
UGT8,3
GAR1,2
KCNE2,2
DPYSL5,2
OR2C3,2
PIK3CA,2
DKFZP434O1614,2
KCNRG,2
FGF4,2
CIR1,2
ST6GALNAC2,2
HRCT1,2
RP11-248J23.7,2
C10orf129,2
CA3,2
TAL2,2
CHMP1A,2
CRYBA2,2
CLUAP1,2
IRAK3,2
MVK,2
LAMP1,2
EXOC3L1,2
HPX,2
OR8D4,2
TAF8,2
COX6A1,2
APOLD1,2
BMI1,2
GSTP1,2
ZNF569,2
C11orf58,2
NBPF10,2
ARVCF,2
NPB,2
PSMC2,2
CRCP,2
RPS18,2
ASB8,2
C1QTNF9B,2
SLC9A3R1,2
OR6Y1,2
AP001468.1,2
DGCR8,2
WWP1,2
PGA4,2
PPP1R15B,2
CPT1A,2
CCDC77,2
PPM1G,2
GAA,2
PIK3CG,2
RAB3IL1,2
LY6H,2
C15orf48,2
ACER1,2
ZNF337,2
DDX26B,2
SERPINA12,2
CCDC80,2
WIBG,2
DIRC3,2
ITGA6,2
TREM1,2
DNASE1L2,2
RPS25,2
CLDN19,2
RTCB,2
C6orf106,2
AKT3,2
ERBB3,2
CST4,2
CLSPN,2
RP11-1012A1.4,2
ANKDD1B,2
SEPT5,2
GALNT4,2
DCAF4L1,2
CIRH1A,2
NRAP,2
DHH,2
UBA52,2
PDZK1IP1,2
TSPO,2
LONP2,2
RPL35,2
GUK1,2
EIF2D,2
PIGZ,2
MPPED2,2
FIZ1,2
IFNL1,2
KIAA0825,2
TRIM41,2
MAP1LC3B2,2
RNASE7,2
OR6F1,2
SLC39A13,2
ZNF765,2
FAM71F1,2
ZDHHC17,2
PDILT,2
UBL5,2
GRXCR1,2
MTSS1L,2
DCAF8L1,2
CREM,2
RFWD3,2
CBFB,2
KIAA1456,2
KIAA0355,2
ZNF800,2
AKTIP,2
DEFB4A,2
TMUB1,2
ARHGDIA,2
MYL7,2
SLC45A3,2
SLCO1A2,2
PPHLN1,2
TUBB2B,2
PARS2,2
RXFP2,2
IQGAP3,2
CLC,2
NLRP8,2
RNF103-CHMP3,2
TRUB2,2
CABP5,2
SLITRK1,2
FAM53A,2
RP11-96O20.4,2
C11orf1,2
GGT5,2
FAM21D,2
SCGB3A2,2
TBC1D29,2
HIPK1,2
WDR33,2
SLX1A,2
CLDN18,2
NLGN4Y,2
NOP2,2
HSPA2,2
DMAP1,2
RP11-295D22.1,2
TOP3B,2
ZMYND15,2
FARSB,2
ELL,2
TEX38,2
LINC00346,2
C9orf129,2
PDK1,2
HTR3A,2
PRELID1,2
RP11-410N8.4,2
CHPT1,2
PRPF40B,2
SSR3,2
HLA-DRB1,2
NDNF,2
PRAMEF2,2
IP6K3,2
NUDT16L1,2
SH3BGRL3,2
RFPL4B,2
PPM1B,2
SLC7A13,1
HIP1,1
SMCO1,1
SKA1,1
SIRT7,1
HIST1H3E,1
LARP7,1
SH2D2A,1
KLRC3,1
LIAS,1
CNBD2,1
CRTC2,1
DKFZP667F0711,1
EP400,1
LCOR,1
FAM215A,1
RP11-123K3.4,1
FAM72A,1
GPR75,1
KIAA0232,1
PCSK1,1
PLCD4,1
RAB12,1
SOX11,1
ZNF891,1
GUCY1A2,1
SUSD3,1
LMO3,1
MYEOV2,1
EVI5L,1
OR5D16,1
ETF1,1
CYP2S1,1
PRKAA1,1
PTMA,1
CUEDC2,1
COG7,1
RCBTB2,1
CCDC137,1
RNF212,1
SCYL1,1
CARD18,1
SLC6A18,1
SNX20,1
ITGAX,1
FAM19A3,1
GPR89A,1
ANKRD36C,1
TMEM105,1
ZNF48,1
GAGE2A,1
C3orf20,1
FAM25G,1
AC009403.2,1
ADH1B,1
API5,1
FOXA1,1
APIP,1
ATRNL1,1
BBS9,1
BCL2L15,1
CEP68,1
CPNE6,1
EHBP1,1
CEACAM4,1
LRRC31,1
BHMT2,1
CA14,1
HTR2C,1
KRTAP12-2,1
LRRC27,1
NAGS,1
OR2G2,1
PAN2,1
PRKACA,1
RDH14,1
SIGLEC1,1
STAT2,1
STK24,1
TUBB,1
VCAN,1
ANKFY1,1
C12orf4,1
HLA-DQA2,1
HEATR4,1
GPATCH2,1
BRWD3,1
TPSG1,1
TRPC4,1
AC073528.1,1
TXNDC2,1
VCP,1
WAC,1
BTG2,1
FBXO2,1
C10orf35,1
C2CD2,1
CATX-2,1
CDIP1,1
CENPL,1
CTB-129P6.11,1
