,SW48,SW620,SW1463,SW1116,RKO,MDST8,SW1417,T84,SW837,HT55,SW948,KM12
0,0.0,0.0,0.0,0.0,0.0,0.0,0.014285714285714287,0.0,0.2642857142857143,0.0,0.0,0.0
1,0.09285714285714286,0.12000000000000001,0.21142857142857144,0.04285714285714286,0.4228571428571429,0.058571428571428566,0.08,0.06999999999999999,0.5028571428571428,0.0071428571428571435,0.22428571428571425,0.22714285714285715
2,0.9,0.01,0.31,0.44,0.31,45.22,0.0,0.09,0.33,0.1,0.2,0.15
3,0.19,0.12,0.28,0.23,2.12,13.46,0.14,0.04,0.67,0.02,0.04,0.37
4,0.1,1.57,5.33,1.56,0.06,0.03,0.06,3.7,0.04,6.92,7.96,0.85
5,0.4,0.05,0.11,0.13,0.05,0.23,0.34,0.04,0.24,0.11,0.08,0.33
6,0.46,0.08,0.32,0.04,0.06,0.0,0.33,0.03,0.0,0.05,0.12,0.0
7,1.03,0.0,0.0,0.0,0.03,0.0,0.22,0.04,1.83,0.0,0.0,7.21
8,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.02
11,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.13,0.11,1.54,8.7,0.01,0.04,6.04,1.86,11.82,0.25,0.69,2.46
13,0.0,0.03,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.02
14,36.74,91.13,44.02,32.74,27.59,64.48,51.76,47.45,56.38,35.79,45.5,37.81
15,23.85,25.11,23.83,15.38,15.67,29.83,21.33,22.31,23.61,23.71,32.16,25.22
16,0.35,0.0,0.0,0.08,0.04,0.03,1.9,0.01,0.69,0.08,0.02,0.14
17,0.03,0.0,3.89,1.1,0.07,0.04,0.04,0.31,0.03,0.43,0.03,0.16
18,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0
