,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,AKR1A1,ANKHD1-EIF4EBP3,ANO10,AC091150.1,AAMDC,ADCY1,AAGAB,AL160286.1,AC018630.1,ACOT7,AC074389.6,ANKZF1,ANTXRL,ADAM8,AL021920.2,ADARB2,AAMP,AC004017.1,AC068987.1,ADNP,BRIX1,AASS,ABHD6,ADIPOQ,COLEC12,AC007952.1,AC002398.9,ACTR3,ABHD12B,ANKRD36,AQPEP,AC003101.1,AC007375.1,AC018816.3,AMY1A,C2orf73,AKIRIN2,AL121963.1,ADRB2,A2M,AASS,AKAP10,ACRC,ABT1,ABHD15,AC037459.4,ACAA2,ACSM2A,AC004817.1,ARL17B,AC015989.2,ARHGEF39,ALOX12,AC000003.2,ACSS3,ART1,AC069547.2,BPY2C,ABCA2,AC008498.1,AC102948.2,ALG12,ARL4D,ACBD7,AK9,A4GALT,AL603965.1,AASDH,AC016885.1,ABCD4,AP000350.10,A1CF,ABL2,AC022819.2,AL021546.6,AC138655.1,COMMD9,AC007375.1,AC026202.1,AC012067.1,AC005549.3,ADAMTS7,AC073188.1,ABCF1,AL162389.1,ALG5,AC003102.1,AC018512.1,ABCC4,AC011500.1,AC112693.2,ADD2,ACMSD,ALDH16A1,AC137932.1,AC006116.20,AC091948.1,AC112715.2,AC006486.9,ARID1A
1,APEX2,ANO5,C17orf75,AFF1,ANXA1,ALPK2,ACR,ANKLE1,AC138517.1,ASB17,AMY1B,CAB39L,CCNG1,ASTL,ARHGAP42,AKR1E2,AL135998.1,AL358113.1,ALG1,CNTNAP5,C11orf70,AL133318.1,AC016722.2,ANKRD61,CRYZ,ACTB,AC007375.1,ASPA,ACACA,APOBEC4,C12orf45,AC110792.1,AC021860.1,AC132186.1,B3GNT8,CLVS2,AL160274.1,CAPN5,AL158091.1,AC016757.3,ANKRD33B,BRD2,ARHGAP6,ARHGAP35,ADCY10,ADPRM,C12orf56,CD22,AC138517.1,CCDC155,AC062017.1,BICD2,ALS2CL,AL583828.1,ADAMTS20,C3AR1,ACAT1,CDH5,AC007040.11,BEST3,AIFM2,ANKRD2,ASAH2,BPY2,ALDH8A1,AC010536.1,ALOX15B,ACVR1C,ACVR1B,ABHD11,AP1M2,ABCD4,BCL2L14,ALAS1,AVP,AL160286.1,DMC1,AEBP2,ACP2,ACTR2,ASIC5,ADRA2B,ACTB,AMZ1,ANKRD18B,C11orf83,AGAP10,AC079210.1,AC026407.1,AC187652.1,AKT2,ADH4,AKT1,ANKRD1,AGMO,AL590714.1,AGAP2-AS1,AC127496.1,ADCY5,C17orf50
2,ARHGAP8,BTN2A1,C9orf131,ANKRD18B,ATE1,ANP32D,ASB12,C3orf22,AMELY,BRICD5,ANKS1A,CIR1,FAM21C,C1orf170,CCDC168,ANGPT4,AL160286.1,AUP1,ANKRD34C,COL4A5,C11orf91,AMBP,AC092675.3,ARID4B,CTD-3214H19.4,ALDH3A1,AC008271.1,CABP5,ACR,BAG1,C1orf186,AIG1,ARHGAP33,AL591684.1,BRDT,CPOX,ANAPC2,COLGALT2,ASF1A,ACTC1,AQP4,C11orf58,BCAP31,ARHGEF15,ALPI,AP002956.1,CFLAR,CEP89,BHLHA15,CD302,ATP5S,CELSR1,BHLHA15,ANKRD10,AHSP,C8orf34,ALDH16A1,CGREF1,ACTA2,C21orf49,AP1B1,ANKRD20A4,BAIAP2,BRWD3,ANKAR,AHSG,APOOL,AL359878.1,ARL11,AC003043.1,ATF7,ABRA,C10orf35,AP005482.1,BBIP1,ALG5,DNAH10,AGR3,ANKRD30A,ADCY3,CAB39L,ASB7,C15orf40,ARMCX3,AOC1,C4orf45,ARAF,ADAM20,AC103809.2,AKNAD1,APOL6,ALDH3A1,ANKRD13C,ARHGEF2,AICDA,C1QBP,ARHGEF10L,ADARB1,AL590714.1,CDKL2
3,C17orf97,CCDC89,CDC42EP2,AOC2,C19orf71,ARHGEF40,BCL9,CLPX,APBA2,CCDC59,ARFIP1,EDA,FAM221A,CCSER2,CD83,APOA1,ALDH3B2,CARS2,C5orf54,CYP26A1,CDS1,ANO7,AC139768.1,C9orf147,DFNB31,ALKBH6,ALDH9A1,CNPY1,AGFG2,C12orf50,CHMP4C,ANKRD31,CHM,ANXA5,C4BPA,DBH,AP000304.1,CUL2,C22orf26,C17orf100,BAALC,C17orf66,BCAR1,ARSK,B4GALT5,ARL16,COQ10B,CNIH3,C8orf49,CHMP3,CDH8,FAM135A,C10orf128,C5orf15,C11orf74,CDT1,CCBL1,FAM120C,AF131215.5,DHX40,CCDC62,AP002884.2,C16orf78,CARD14,ARHGAP27,AL359736.1,CAPS2,C1orf56,ATP6V1A,ADRB3,C11orf96,AC006014.1,C1orf222,AP3B2,CCDC42,ANKRD45,DTL,ARNT2,ATF1,AIRE,CMPK2,C1orf115,CASC5,BOP1,C1orf229,C8orf87,ATP12A,AQP3,AC121757.1,AL645608.1,C17orf112,BANF1,C17orf107,C14orf28,AKR1B10,CACNA2D4,C11orf16,AL161784.1,ALOX5AP,CFHR5
4,CCNL2,DSTYK,CEBPG,BABAM1,ENO1,CCDC43,C14orf64,FADS3,APOL5,CD200R1,ATP9B,EDEM3,GATA3,CLVS1,CGRRF1,BIRC2,AP001631.10,CDK16,CCL26,EREG,CELF2,ATP5H,ADAMTS7,CHD8,GALNT12,AP001888.1,ARID3C,CTD-2278I10.6,ATRNL1,CBX1,EGFLAM,AP000695.1,CRYGN,APH1A,CDS1,DCTN6,DCAF16,EID2,C6orf47,C6orf58,C16orf90,C3orf62,C1orf35,ASXL1,BOK,C11orf85,CT47A5,DCT,CALHM1,COQ5,DNAJC13,FBXO25,C11orf70,C5orf34,CCDC54,CENPA,CCDC27,GABBR2,ANKRD10,ECH1,CD1D,BMPER,CAND2,CBR1,CBWD5,ASIP,CXXC1,C2orf81,BTBD11,AMBN,C17orf77,ANK1,CCDC171,ARID3B,DCDC2C,BBS5,FASTKD2,ATP9A,CLEC16A,ASAH2C,CNBD2,CENPL,CFI,C22orf15,CCDC138,CD47,ATP6V1G2-DDX39B,BACE2,ARF5,ATP2B4,C19orf40,C11orf24,CCDC151,CBR4,AL031663.2,CDC42,CA5A,ANAPC5,C12orf49,CHGB
5,CDK17,EMC9,CEP76,BOD1,FAM83H,CCT6B,EDNRB,FAM90A26,CDNF,DACT2,C12orf60,EML5,GDPGP1,CSNK1D,CST2,CDC40,B3GNT2,CILP,CD9,ERGIC3,CKAP4,B4GALT5,AMACR,CLEC4A,GCDH,CC2D2A,CALCOCO1,EFCAB13,BUD31,CREB1,EMC2,CAMK4,CST4,ART1,COL9A2,FGFR3,EPN3,FAM13A,CACUL1,CD6,CCDC64B,C3orf80,CORIN,BTNL9,C8orf74,CNIH3,ELAVL3,DUSP14,CCDC108,CPA6,GPR45,GALT,C1orf216,CLCN2,CSNK2B,CLRN1,CCK,GPR32,ATP1A4,FRG1B,CD200R1L,BRAT1,CLDN1,CNR2,CCDC114,BASP1,DHX9,C8orf47,C15orf40,ATP6V0D2,CACNA2D2,CALCB,DDX60L,ARPC4,DFNB59,C4BPB,FLII,CAPN5,CTPS2,ATP6V0C,CUL4B,CREB5,COL28A1,C3orf55,CDC42EP1,CLCNKA,C22orf23,BEST3,ATG4A,CCDC70,C1GALT1,C17orf99,CD320,CCDC73,ALOX12,CES1,ELAC2,CBWD3,C15orf65,DMXL2
6,CDS1,FES,CIAO1,C9orf147,GP1BA,CDC45,ELF4,FILIP1L,CLEC17A,DICER1,C20orf201,EN2,GMEB2,DNAJB5,CTD-2162K18.4,CERS2,C1QL3,CTC-512J12.6,CELF4,FUT6,COMMD3-BMI1,CDK9,ARMC10,DEFB127,HIST1H2BK,DACH2,CD209,EIF4EBP2,CCDC88B,CTD-2207O23.12,FAM216A,CBWD2,CYP2B6,C18orf32,FAM170B,FYCO1,FAM120A,HAPLN1,CHRDL2,COL6A3,CTD-2278I10.6,CCDC78,DNMBP,CDC42SE1,CASC1,DYDC1,FAM98B,EIF2B5,CNKSR1,DHX8,HIST1H3I,HDLBP,CCAR1,CYP24A1,DDX19A,CR1,DHTKD1,GZMK,BHLHE23,HNRNPUL2,CISD3,C8orf49,CUL4A,COL16A1,CLDN9,CIB4,EVA1C,COPE,CAB39L,BBS1,CAPN2,CCDC136,DNAH3,C3orf55,FAM179B,C9orf41,FLNB,CXCL12,DACT1,CACNA1B,EPB41L4A-AS2,DNTTIP1,CRYZ,CAPNS2,CHIC2,INS-IGF2,C2ORF15,BTAF1,ATP6AP2,DDX31,CASZ1,CD180,CDKL4,CDKN1C,ATAD1,CHEK2,FAM71F2,CKAP4,C17orf53,GHRHR
7,CSH1,GRM5,DBI,CHIT1,INTS10,CLCA2,FANCA,GRN,DEFA1B,EPHB2,C6ORF50,GAR1,LAMB3,DNALI1,CTD-2278I10.6,CFL1,CAMTA1,DHRS4L2,CEP350,G2E3,DCTN3,CDS2,ARPC5,EPO,IGFLR1,DKFZP434H0512,CETN3,FANCC,COA4,CYP2W1,FGFRL1,CLEC6A,DNAJC3,C1orf226,FAM199X,GAGE12H,GTDC1,HECTD4,DIMT1,CYB5B,DAPK2,COMMD1,EHBP1L1,CYP39A1,CTB-186H2.3,FAM189B,FKSG48,FAM219B,COL3A1,DNASE1L2,HSPB6,INIP,CCDC127,DHDH,FRYL,CTB-167G5.5,EIF1AX,HELB,CATSPERG,INSL6,COL25A1,CEP250,DCTN1,COMMD3,COPS5,CLINT1,FUCA2,CTD-2369P2.10,EIF3M,BTF3,CDK14,CCL13,DUSP21,COA3,FMO3,CHGB,FLYWCH2,FAM71E1,DUSP26,CH25H,ERVV-1,EIF2S1,CYTH4,CDK8,DCUN1D4,KCTD6,CCL23,ELK4,BAIAP2,DMKN,CEP164,CDH5,CHRNB2,CITED4,CCL18,CTC-260F20.3,FLRT2,CSGALNACT1,CCL1,GPR158
8,DAZ1,ITGAD,DCAF8L1,CRYGB,IVL,CNTN3,GLE1,HDLBP,DEFB106B,GPR89C,CCDC85C,GRM2,LGALS14,ELMOD1,DCAF8,COMMD2,DEPDC5,FAM65A,CRX,GMPR2,DHX16,FAM228B,ATP6C,FAM110A,IL4R,DQX1,COX8C,GALNTL6,DENND1C,DUSP9,KIAA0020,CNTRL,EDNRB,CASD1,FHOD3,GIGYF2,HRASLS2,HELZ2,GGA2,EMR1,DICER1,COX19,FAM181B,DEFB118,DYRK3,FTSJ3,GALNT13,FBXO30,CTH,FAM63B,ITM2A,KRT1,CMA1,DNAJC5G,GDA,CTXN1,EML1,HMGXB4,CLSTN3,KRT222,CRTC2,CUX1,FGF22,CYTH2,CYP39A1,CYB5B,FUT8,DYRK4,EVPLL,C19orf25,CEP41,CEACAM6,EPDR1,DAK,FRS3,CNNM4,FTO,FGF7,EDDM3B,DSTYK,GABARAPL3,FADD,DOCK11,CPA2,GUCA1A,KPNA1,CD3G,GCNT3,BCO2,ERF,DBX2,CLIC3,CUZD1,COL20A1,COQ3,DCP1B,GPSM1,EHMT1,CD1D,KRTAP10-8
9,DIP2B,KLRD1,EBF3,EPS8L3,KAT2A,DNAH17-AS1,HIST1H4I,KANK3,DLL3,HSPA1B,CRKL,GTF2I,LRRC72,EPB41L4A,EID1,CST9,ELSPBP1,FMNL2,CTSO,IL17D,DOCK11,FBXO25,CAND1,FAM230A,KPNA7,DTNBP1,CXADR,HS6ST1,FANCB,EPS8L2,KRT81,CPNE3,GALNT6,CX3CR1,GOLGA7,IL22,HRNR,IRAK4,GPI,FAM166B,DKFZP667F0711,CYB561A3,FUT2,DPAGT1,FAM166B,KRT35,GNAL,FEZ2,CUL7,FAM71F1,MSMP,KRTAP5-3,FXYD4,FIGLA,GLUD1,FADS6,EOGT,HP1BP3,ECT2L,MED18,GJB2,DNASE1L1,FOXD4L4,EIF4A2,GPR89C,DCAF8,GLB1L2,ELFN1,FMOD,CD99L2,CMTM5,CEBPG,FAM101B,FAM53C,HTR2A,CSTL1,FXYD7,FOXE1,GAB4,EXOSC6,GPR116,FMNL3,EFCC1,EEF1B2,IDH2,KRTAP22-2,DPP3,GFRAL,CHEK1,FAM27E1,DRC1,CNPY4,DNAJB5,DIABLO,CSDC2,DNHD1,HMBOX1,ELP2,COL16A1,LRRC47
